collectioncode,catalognumber,scientificname,commonname,detectedby,station,receiver,receiver_depth,tagname,timezone,longitude,latitude,the_geom,yearcollected,monthcollected,daycollected,julianday,timeofday
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.928333333
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.9575
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,6.997777778
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,7.026944444
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,7.067222222
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,7.096388889
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,7.136944444
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,7.208888889
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,7.241388889
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,7.288611111
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,7.331388889
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,7.365555556
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,7.416388889
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,7.466111111
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,7.514722222
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,7.631666667
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,7.673611111
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,7.706388889
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,7.753888889
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,7.7975
